ASN,ASN_NAME,SOURCE,ASOF_DATE
3356,LEVEL3,ASRank,2024-05-24
1299,TWELVE99,ASRank,2024-05-24
174,COGENT-174,ASRank,2024-05-24
2914,NTT-LTD-2914,ASRank,2024-05-24
6762,SEABONE-NET,ASRank,2024-05-24
6939,HURRICANE,ASRank,2024-05-24
3257,GTT-BACKBONE,ASRank,2024-05-24
6453,AS6453,ASRank,2024-05-24
6461,ZAYO-6461,ASRank,2024-05-24
3491,BTN-ASN,ASRank,2024-05-24
5511,Opentransit,ASRank,2024-05-24
9002,RETN-AS,ASRank,2024-05-24
1273,CW,ASRank,2024-05-24
12956,TELXIUS,ASRank,2024-05-24
20495,WEDARE,ASRank,2024-05-24
12389,ROSTELECOM-AS,ASRank,2024-05-24
4637,ASN-TELSTRA-GLOBAL,ASRank,2024-05-24
7473,SINGTEL-AS-AP,ASRank,2024-05-24
1239,SPRINTLINK,ASRank,2024-05-24
9498,BBIL-AP,ASRank,2024-05-24
3320,DTAG,ASRank,2024-05-24
3216,SOVAM-AS,ASRank,2024-05-24
6830,LibertyGlobal,ASRank,2024-05-24
7018,ATT-INTERNET4,ASRank,2024-05-24
701,UUNET,ASRank,2024-05-24
13786,SEABORN,ASRank,2024-05-24
20485,TRANSTELECOM,ASRank,2024-05-24
37468,ANGOLA-CABLES,ASRank,2024-05-24
20764,RASCOM-AS,ASRank,2024-05-24
31133,MF-MGSM-AS,ASRank,2024-05-24
7922,COMCAST-7922,ASRank,2024-05-24
4755,TATACOMM-AS,ASRank,2024-05-24
33891,CORE-BACKBONE,ASRank,2024-05-24
16265,LEASEWEB-NETWORK,ASRank,2024-05-24
15412,FLAG-AS,ASRank,2024-05-24
1031,PEER-1-INTERNET,ASRank,2024-05-24
28917,Fiord-AS,ASRank,2024-05-24
35598,INETCOM,ASRank,2024-05-24
4826,VOCUS-BACKBONE-AS,ASRank,2024-05-24
58453,CMI-INT-HK,ASRank,2024-05-24
8220,COLT,ASRank,2024-05-24
4766,KIXS-AS-KR,ASRank,2024-05-24
4455,BSO,ASRank,2024-05-24
31500,Global Network Management,ASRank,2024-05-24
8359,MTS,ASRank,2024-05-24
11537,INTERNET2-RESEARCH-EDU,ASRank,2024-05-24
46887,LIGHTOWER,ASRank,2024-05-24
209,CENTURYLINK-US-LEGACY-QWEST,ASRank,2024-05-24
3549,LVLT-3549,ASRank,2024-05-24
1221,ASN-TELSTRA,ASRank,2024-05-24
11164,INTERNET2-I2PX,ASRank,2024-05-24
50509,TRANSROUTE,ASRank,2024-05-24
64049,RJIPL-SG,ASRank,2024-05-24
7843,TWC-7843-BB,ASRank,2024-05-24
9049,ERTH-TRANSIT-AS,ASRank,2024-05-24
40850,AS-UPIX-40850,ASRank,2024-05-24
3303,SWISSCOM,ASRank,2024-05-24
7713,telkomnet-as-ap,ASRank,2024-05-24
264409,Huge Networks,ASRank,2024-05-24
15830,Equinix,ASRank,2024-05-24
23520,COLUMBUS-NETWORKS,ASRank,2024-05-24
32787,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK,ASRank,2024-05-24
13335,CLOUDFLARENET,ASRank,2024-05-24
7545,TPG-INTERNET-AP,ASRank,2024-05-24
20562,OPEN-PEERING-AS,ASRank,2024-05-24
23764,CTGNet,ASRank,2024-05-24
41095,IPTP,ASRank,2024-05-24
5405,INTERDOTLINK,ASRank,2024-05-24
9304,HUTCHISON-AS-AP,ASRank,2024-05-24
3223,VOXILITY,ASRank,2024-05-24
12552,IPO-EU,ASRank,2024-05-24
12741,AS-NETIA,ASRank,2024-05-24
37100,SEACOM-AS,ASRank,2024-05-24
132602,BANGLADESH-AS-AP,ASRank,2024-05-24
55836,RELIANCEJIO-IN,ASRank,2024-05-24
