ASN,ASN_NAME,SOURCE,ASOF_DATE
35540,AS-OVH,PeeringDB,2024-05-23
35237,AS-SBRF,PeeringDB,2024-05-23
35548,AS-SMARTTERRA,PeeringDB,2024-05-23
35549,AS-METRONET,PeeringDB,2024-05-23
393573,AS393573:RS-ROUTES-ALL,PeeringDB,2024-05-23
48581,RIPE::AS-MYTHICALKITTEN,PeeringDB,2024-05-23
48027,AS-SITROX,PeeringDB,2024-05-23
12597,AS-GOTANET,PeeringDB,2024-05-23
28999,AS28999,PeeringDB,2024-05-23
262299,AS-262299,PeeringDB,2024-05-23
55293,AS55293:AS-A2HOST,PeeringDB,2024-05-23
132649,AS132649,PeeringDB,2024-05-23
51269,AS-HEXATOM,PeeringDB,2024-05-23
262290,AS262290:AS-NEWPARCE-ALL,PeeringDB,2024-05-23
51265,AS-MRS,PeeringDB,2024-05-23
262292,AS-262292,PeeringDB,2024-05-23
51263,AS-CBB,PeeringDB,2024-05-23
51262,AS-INTERNETGROUP,PeeringDB,2024-05-23
132645,AS132645,PeeringDB,2024-05-23
393577,AS-TRITAN-CONE,PeeringDB,2024-05-23
206873,AS-SET-GALAXYDATA,PeeringDB,2024-05-23
25061,AS-ANLX,PeeringDB,2024-05-23
138887,RS-SET,PeeringDB,2024-05-23
61948,AS-INFOMAC,PeeringDB,2024-05-23
215304,AS215304:AS-YUWAN,PeeringDB,2024-05-23
25068,AS-KONICAMINOLTA,PeeringDB,2024-05-23
215303,AS-QUBITBYTES,PeeringDB,2024-05-23
262742,AS262742:AS-UFABC RS-UFABC,PeeringDB,2024-05-23
266042,AS-266042,PeeringDB,2024-05-23
266044,AS266044:AS-ANNOUNCEMENTS,PeeringDB,2024-05-23
266049,AS266049:AS-ALL,PeeringDB,2024-05-23
262749,AS262749:AS-ANNOUNCEMENTS,PeeringDB,2024-05-23
265972,AS265972,PeeringDB,2024-05-23
205112,RIPE::AS-PHILUNET,PeeringDB,2024-05-23
45658,AS45658:AS-SET-SURYACITRA-ID,PeeringDB,2024-05-23
142601,AS142601,PeeringDB,2024-05-23
48024,AS-NEROCLOUD,PeeringDB,2024-05-23
131111,AS131111:AS-CEPATNET-AS-ID,PeeringDB,2024-05-23
6798,RIPE::AS-NET4YOU,PeeringDB,2024-05-23
