ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
1200,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
200020,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
12993,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
205943,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
40805,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8758,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8821,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
263945,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
20773,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
29075,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
39244,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8304,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8529,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
559,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
1103,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
12859,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
2914,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
112,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
58453,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
9145,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
2611,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
50304,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
47065,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
1140,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8708,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
209768,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
5390,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
14061,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8918,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
6661,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
15224,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
9009,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
5410,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
5583,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
1257,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
12654,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
15412,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
13445,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
12355,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
702,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
24730,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
40850,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8426,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
57976,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
39378,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
50923,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
6774,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
36692,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8608,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
47195,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
5413,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
31027,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
1547,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
8473,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
3303,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
38040,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
3292,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
6830,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
20495,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
5400,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
30132,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
41327,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
15830,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
16637,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
31424,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
31515,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
6663,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
6461,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
3209,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
19551,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
31133,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
24875,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
6667,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
15600,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
29263,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
13414,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
4455,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
61599,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
37282,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
9150,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
12496,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
199275,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
15435,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
34655,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
15133,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
39591,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
49820,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
29396,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
35467,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
43190,52.3,4.77,PCH,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
