ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
5603,46.0505,14.5185,RIPEAtlas,,46.0552883088,14.5149690335,Ljubljana,Osrednjeslovenska,SI,False,2024-05-24
35141,42.7615,23.4485,RIPEAtlas,,42.6833494253,23.3166540107,Sofia,Grad Sofiya,BG,False,2024-05-24
3245,43.2075,27.9095,RIPEAtlas,,43.2156425161,27.8952892646,Varna,Varna,BG,False,2024-05-24
8717,42.6995,23.2995,RIPEAtlas,,42.6833494253,23.3166540107,Sofia,Grad Sofiya,BG,False,2024-05-24
35489,42.6175,23.3505,RIPEAtlas,,42.6833494253,23.3166540107,Sofia,Grad Sofiya,BG,False,2024-05-24
8866,42.2705,23.5405,RIPEAtlas,,42.6833494253,23.3166540107,Sofia,Grad Sofiya,BG,False,2024-05-24
25513,55.8875,37.4115,RIPEAtlas,,55.7521641226,37.6155228259,Moscow,Moskva,RU,False,2024-05-24
6848,50.8195,4.5315,RIPEAtlas,,50.8333170767,4.3333166083,Brussels,Brussels,BE,False,2024-05-24
206065,35.7605,51.4685,RIPEAtlas,,35.6719427684,51.4243440336,Tehran,Tehran,IR,False,2024-05-24
17552,13.7105,100.5905,RIPEAtlas,,13.7499992055,100.516644652,Bangkok,Bangkok Metropolis,TH,False,2024-05-24
31898,19.0815,72.8805,RIPEAtlas,,19.0169903757,72.8569892974,Mumbai,Maharashtra,IN,False,2024-05-24
205790,52.5285,13.3215,RIPEAtlas,,52.5218186636,13.4015486233,Berlin,Berlin,DE,False,2024-05-24
36290,17.2815,-62.6885,RIPEAtlas,,17.3020304555,-62.7170093197,Basseterre,,KN,False,2024-05-24
25192,50.0815,14.4715,RIPEAtlas,,50.0833370149,14.4659797757,Prague,Prague,CZ,False,2024-05-24
6848,50.8095,4.6515,RIPEAtlas,,50.8333170767,4.3333166083,Brussels,Brussels,BE,False,2024-05-24
2860,41.1015,-8.6285,RIPEAtlas,,41.1500063264,-8.62000126284,Porto,Porto,PT,False,2024-05-24
2860,37.0195,-7.9325,RIPEAtlas,,37.0170803009,-7.93327315412,Faro,Faro,PT,False,2024-05-24
2860,41.1515,-8.6525,RIPEAtlas,,41.1500063264,-8.62000126284,Porto,Porto,PT,False,2024-05-24
2860,41.4375,-8.2915,RIPEAtlas,,41.5549945262,-8.4213312189,Braga,Braga,PT,False,2024-05-24
51167,49.4495,11.0785,RIPEAtlas,,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,False,2024-05-24
20055,45.5575,-122.8705,RIPEAtlas,,45.5200238231,-122.679990074,Portland,Oregon,US,False,2024-05-24
7922,45.5275,-123.1205,RIPEAtlas,,45.5200238231,-122.679990074,Portland,Oregon,US,False,2024-05-24
2860,38.7385,-9.1705,RIPEAtlas,,38.7227228779,-9.14486630549,Lisbon,Lisboa,PT,False,2024-05-24
2860,41.1495,-8.5905,RIPEAtlas,,41.1500063264,-8.62000126284,Porto,Porto,PT,False,2024-05-24
2860,38.6295,-8.9205,RIPEAtlas,,38.5299595327,-8.90001001122,Setúbal,Lisboa,PT,False,2024-05-24
2860,41.1505,-8.5705,RIPEAtlas,,41.1500063264,-8.62000126284,Porto,Porto,PT,False,2024-05-24
20055,45.5285,-123.1205,RIPEAtlas,,45.5200238231,-122.679990074,Portland,Oregon,US,False,2024-05-24
7922,45.5285,-123.1205,RIPEAtlas,,45.5200238231,-122.679990074,Portland,Oregon,US,False,2024-05-24
2860,41.6905,-8.8295,RIPEAtlas,,41.6962351427,-8.84413748436,Viana Do Castelo,Viana do Castelo,PT,False,2024-05-24
2860,41.5505,-8.4295,RIPEAtlas,,41.5549945262,-8.4213312189,Braga,Braga,PT,False,2024-05-24
8881,50.6005,7.2175,RIPEAtlas,,50.7204557486,7.08002233748,Bonn,Nordrhein-Westfalen,DE,False,2024-05-24
20712,51.5115,-0.1325,RIPEAtlas,,51.4999947297,-0.11672184386,London,Westminster,GB,False,2024-05-24
3209,50.8075,8.7675,RIPEAtlas,,50.5837199087,8.65000402694,Gießen,Hessen,DE,False,2024-05-24
4739,-27.5015,153.0775,RIPEAtlas,,-27.4550309054,153.035092732,Brisbane,Queensland,AU,False,2024-05-24
2852,50.7715,15.0675,RIPEAtlas,,50.7999599397,15.0799991442,Liberec,Liberecký,CZ,False,2024-05-24
42610,55.7295,37.6185,RIPEAtlas,,55.7521641226,37.6155228259,Moscow,Moskva,RU,False,2024-05-24
13045,52.2085,9.5585,RIPEAtlas,,52.3669702343,9.71665726588,Hannover,Niedersachsen,DE,False,2024-05-24
7303,-31.2915,-64.3005,RIPEAtlas,,-31.3999580701,-64.1822945573,Córdoba,Córdoba,AR,False,2024-05-24
137,41.8915,12.4895,RIPEAtlas,,41.8959556265,12.4832584215,Rome,Lazio,IT,False,2024-05-24
16086,60.1915,24.9695,RIPEAtlas,,60.175563374,24.9341263415,Helsinki,Southern Finland,FI,False,2024-05-24
6799,40.6415,22.9405,RIPEAtlas,,40.6961063833,22.8850007718,Thessaloniki,Kentriki Makedonia,GR,False,2024-05-24
2602,49.5015,5.9505,RIPEAtlas,,49.6116603791,6.13000280623,Luxembourg,Luxembourg,LU,False,2024-05-24
34555,53.8285,-1.4595,RIPEAtlas,,53.8300075471,-1.58001753886,Leeds,West Yorkshire,GB,False,2024-05-24
15598,49.4495,11.0805,RIPEAtlas,,49.4499906607,11.0799849026,Nürnberg,Bayern,DE,False,2024-05-24
3320,52.3905,9.8105,RIPEAtlas,,52.3669702343,9.71665726588,Hannover,Niedersachsen,DE,False,2024-05-24
852,49.1475,-121.8185,RIPEAtlas,,49.1666487824,-121.949982953,Chilliwack,British Columbia,CA,False,2024-05-24
1257,58.5295,11.5815,RIPEAtlas,,58.267101053,12.2999621161,Trollhättan,Västra Götaland,SE,False,2024-05-24
206238,51.4885,5.4715,RIPEAtlas,,51.429973164,5.50001542016,Eindhoven,Noord-Brabant,NL,False,2024-05-24
203953,55.5915,12.5915,RIPEAtlas,,55.6785641904,12.5634857473,København,Hovedstaden,DK,False,2024-05-24
136402,-22.2725,166.4575,RIPEAtlas,,-22.2625277637,166.444285203,Nouméa,Sud,NC,False,2024-05-24
8540,46.6915,14.4885,RIPEAtlas,,46.6203442577,14.310020303,Klagenfurt,Kärnten,AT,False,2024-05-24
27747,-34.6025,-58.3805,RIPEAtlas,,-34.6025016085,-58.3975313737,Buenos Aires,Ciudad de Buenos Aires,AR,False,2024-05-24
1136,52.3685,4.8995,RIPEAtlas,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2024-05-24
207995,50.7685,0.2795,RIPEAtlas,,50.8303456819,-0.16997440734,Brighton,Brighton and Hove,GB,False,2024-05-24
25513,55.7595,37.6195,RIPEAtlas,,55.7521641226,37.6155228259,Moscow,Moskva,RU,False,2024-05-24
3320,48.8715,8.8095,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2024-05-24
15744,50.2875,18.6795,RIPEAtlas,,50.3303761994,18.6700125719,Gliwice,Silesian,PL,False,2024-05-24
50226,46.6195,13.3705,RIPEAtlas,,46.070016092,13.240008096,Udine,Friuli-Venezia Giulia,IT,False,2024-05-24
3320,52.4005,9.7805,RIPEAtlas,,52.3669702343,9.71665726588,Hannover,Niedersachsen,DE,False,2024-05-24
701,38.9015,-77.2095,RIPEAtlas,,38.8204327586,-77.0999815284,Alexandria,Virginia,US,False,2024-05-24
2527,35.7215,139.7805,RIPEAtlas,,35.6850169058,139.751407429,Tokyo,Tokyo,JP,False,2024-05-24
5650,27.9075,-81.8685,RIPEAtlas,,28.0219187612,-81.7330062273,Winter Haven,Florida,US,False,2024-05-24
3209,52.1475,8.6515,RIPEAtlas,,52.0299882193,8.53001135116,Bielefeld,Nordrhein-Westfalen,DE,False,2024-05-24
6400,19.7685,-70.5185,RIPEAtlas,,19.7902171033,-70.6902474735,Puerto Plata,Puerto Plata,DO,False,2024-05-24
7018,36.3595,-94.2485,RIPEAtlas,,36.0629783315,-94.1572091082,Fayetteville,Arkansas,US,False,2024-05-24
21351,16.2375,-61.5585,RIPEAtlas,,16.2414750356,-61.532998903,Pointe-à-Pitre,Guadeloupe,GP,False,2024-05-24
6327,49.2495,-124.0785,RIPEAtlas,,49.1460202127,-123.934291146,Nanaimo,British Columbia,CA,False,2024-05-24
395853,40.7115,-73.9985,RIPEAtlas,,40.749979064,-73.9800169288,New York,New York,US,False,2024-05-24
812,48.9505,-54.6125,RIPEAtlas,,48.9499953401,-54.5499884456,Gander,Newfoundland and Labrador,CA,False,2024-05-24
51561,54.3295,-2.7525,RIPEAtlas,,54.8799951366,-2.92998681783,Carlisle,Cumbria,GB,False,2024-05-24
701,39.0405,-77.4025,RIPEAtlas,,38.8204327586,-77.0999815284,Alexandria,Virginia,US,False,2024-05-24
33363,28.4895,-81.5515,RIPEAtlas,,28.509976826,-81.3800303566,Orlando,Florida,US,False,2024-05-24
28979,49.0105,8.3985,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2024-05-24
30600,41.5915,-93.7015,RIPEAtlas,,41.5799800812,-93.6199809181,Des Moines,Iowa,US,False,2024-05-24
852,49.0285,-122.8715,RIPEAtlas,,49.2734165841,-123.121644218,Vancouver,British Columbia,CA,False,2024-05-24
2504,35.0305,135.7785,RIPEAtlas,,35.0299922882,135.749997924,Kyoto,Kyoto,JP,False,2024-05-24
327872,-33.6385,19.0085,RIPEAtlas,,-33.6995593071,18.9600207099,Paarl,Western Cape,ZA,False,2024-05-24
7545,-32.7625,151.5295,RIPEAtlas,,-32.7209627088,151.555028035,Maitland,New South Wales,AU,False,2024-05-24
44869,54.9175,11.9495,RIPEAtlas,,55.4329981145,11.5667016044,Sorø,Sjaælland,DK,False,2024-05-24
7922,47.6385,-122.2205,RIPEAtlas,,47.5700020539,-122.339984987,Seattle,Washington,US,False,2024-05-24
1136,52.0895,5.1195,RIPEAtlas,,52.1003456819,5.12003861351,Utrecht,Utrecht,NL,False,2024-05-24
4685,35.6495,139.6495,RIPEAtlas,,35.6850169058,139.751407429,Tokyo,Tokyo,JP,False,2024-05-24
7922,41.6705,-85.9005,RIPEAtlas,,41.6829453726,-85.9687941912,Elkhart,Indiana,US,False,2024-05-24
7018,33.1515,-96.8205,RIPEAtlas,,33.2157619416,-97.128836509,Denton,Texas,US,False,2024-05-24
2856,52.0615,1.1495,RIPEAtlas,,52.0703475129,1.16999548199,Ipswich,Suffolk,GB,False,2024-05-24
39835,50.5785,8.9695,RIPEAtlas,,50.5837199087,8.65000402694,Gießen,Hessen,DE,False,2024-05-24
553,48.8905,8.7285,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2024-05-24
3209,49.0075,8.3995,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2024-05-24
212865,47.4885,8.5495,RIPEAtlas,,47.3799878124,8.55001013046,Zürich,Zürich,CH,False,2024-05-24
34878,49.0905,8.4295,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2024-05-24
34878,48.7815,9.1795,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2024-05-24
202078,52.0375,113.4695,RIPEAtlas,,52.0550254507,113.465001586,Chita,Chita,RU,False,2024-05-24
34878,49.1005,8.4295,RIPEAtlas,,48.9999922883,8.39999344751,Karlsruhe,Baden-Württemberg,DE,False,2024-05-24
56588,59.4415,24.7495,RIPEAtlas,,59.4338773795,24.7280407295,Tallinn,Harju,EE,False,2024-05-24
202870,44.9815,11.8905,RIPEAtlas,,44.8504264517,11.6099267158,Ferrara,Emilia-Romagna,IT,False,2024-05-24
3320,52.3915,13.0605,RIPEAtlas,,52.400404886,13.0699926337,Potsdam,Brandenburg,DE,False,2024-05-24
553,48.7775,9.1805,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2024-05-24
12392,50.5975,4.4415,RIPEAtlas,,50.4203965445,4.45000199242,Charleroi,Charleroi,BE,False,2024-05-24
8881,48.7185,9.1075,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2024-05-24
41164,63.4285,10.3975,RIPEAtlas,,63.4166575309,10.4166662177,Trondheim,Sør-Trøndelag,NO,False,2024-05-24
2611,50.8215,3.2475,RIPEAtlas,,50.6499690949,3.08000809593,Lille,Nord-Pas-de-Calais,FR,False,2024-05-24
20960,53.0275,18.8075,RIPEAtlas,,53.4803906444,18.7500076891,Grudziądz,Kuyavian-Pomeranian,PL,False,2024-05-24
6730,46.1885,6.1675,RIPEAtlas,,46.2100075471,6.14002803409,Geneva,Genève,CH,False,2024-05-24
13292,47.5395,15.5675,RIPEAtlas,,47.0777581981,15.4100048408,Graz,Steiermark,AT,False,2024-05-24
3269,41.1805,13.9875,RIPEAtlas,,41.0599601431,14.3373571357,Caserta,Campania,IT,False,2024-05-24
3215,48.8805,2.3375,RIPEAtlas,,48.8666929312,2.33333532574,Paris,Île-de-France,FR,False,2024-05-24
5089,51.4805,-0.8915,RIPEAtlas,,51.4699707226,-0.98002832173,Reading,Oxfordshire,GB,False,2024-05-24
50998,50.6415,5.5785,RIPEAtlas,,50.6299961539,5.58001053734,Liège,Liege,BE,False,2024-05-24
553,48.7775,9.1785,RIPEAtlas,,48.7799798778,9.19999629582,Stuttgart,Baden-Württemberg,DE,False,2024-05-24
5410,45.7695,4.8885,RIPEAtlas,,45.7700085643,4.83003047549,Lyon,Rhône-Alpes,FR,False,2024-05-24
35612,46.3085,11.6005,RIPEAtlas,,46.5004290966,11.3600194892,Bolzano,Trentino-Alto Adige,IT,False,2024-05-24
3269,45.4505,11.0605,RIPEAtlas,,45.440390441,10.990016234,Verona,Veneto,IT,False,2024-05-24
3209,51.3605,6.5705,RIPEAtlas,,51.429973164,6.75001664087,Duisburg,Nordrhein-Westfalen,DE,False,2024-05-24
202613,44.8615,11.6505,RIPEAtlas,,44.8504264517,11.6099267158,Ferrara,Emilia-Romagna,IT,False,2024-05-24
209810,50.0175,14.4515,RIPEAtlas,,50.0833370149,14.4659797757,Prague,Prague,CZ,False,2024-05-24
21859,34.0495,-118.2585,RIPEAtlas,,33.9899782502,-118.179980511,Los Angeles,California,US,False,2024-05-24
20473,42.0005,-87.9985,RIPEAtlas,,42.039461079,-88.2899186622,Elgin,Illinois,US,False,2024-05-24
25159,55.7895,37.7015,RIPEAtlas,,55.7521641226,37.6155228259,Moscow,Moskva,RU,False,2024-05-24
47914,55.7605,37.8915,RIPEAtlas,,55.7521641226,37.6155228259,Moscow,Moskva,RU,False,2024-05-24
6697,53.6975,23.8475,RIPEAtlas,,53.6778721304,23.8340901273,Hrodna,Hrodna,BY,False,2024-05-24
24940,49.4515,11.0175,RIPEAtlas,,49.4700152782,10.9999897854,Fürth,Bayern,DE,False,2024-05-24
57269,40.3875,-3.6025,RIPEAtlas,,40.4000262645,-3.683351686,Madrid,Comunidad de Madrid,ES,False,2024-05-24
3215,48.9375,1.9975,RIPEAtlas,,48.8004695832,2.13334753277,Versailles,Île-de-France,FR,False,2024-05-24
44489,48.9285,14.4075,RIPEAtlas,,48.9800193472,14.4600369859,České Budějovice,Jihoceský,CZ,False,2024-05-24
3269,42.0215,14.5475,RIPEAtlas,,41.5629991186,14.6559965589,Campobasso,Molise,IT,False,2024-05-24
8402,55.7775,37.7385,RIPEAtlas,,55.7521641226,37.6155228259,Moscow,Moskva,RU,False,2024-05-24
47583,33.4495,-111.9815,RIPEAtlas,,33.5399798778,-112.069991701,Phoenix,Arizona,US,False,2024-05-24
203596,47.2495,-1.6215,RIPEAtlas,,47.2103857616,-1.5900169285,Nantes,Pays de la Loire,FR,False,2024-05-24
47583,33.4505,-111.9815,RIPEAtlas,,33.5399798778,-112.069991701,Phoenix,Arizona,US,False,2024-05-24
47583,33.4515,-111.9815,RIPEAtlas,,33.5399798778,-112.069991701,Phoenix,Arizona,US,False,2024-05-24
47583,33.4475,-111.9815,RIPEAtlas,,33.5399798778,-112.069991701,Phoenix,Arizona,US,False,2024-05-24
47583,33.4485,-111.9815,RIPEAtlas,,33.5399798778,-112.069991701,Phoenix,Arizona,US,False,2024-05-24
12322,48.8015,2.5085,RIPEAtlas,,48.8666929312,2.33333532574,Paris,Île-de-France,FR,False,2024-05-24
37963,39.9075,116.3995,RIPEAtlas,,39.9288922313,116.388285684,Beijing,Beijing,CN,False,2024-05-24
47583,33.4475,-111.9805,RIPEAtlas,,33.5399798778,-112.069991701,Phoenix,Arizona,US,False,2024-05-24
206037,48.1105,-1.6105,RIPEAtlas,,48.1000213817,-1.67001204569,Rennes,Bretagne,FR,False,2024-05-24
8585,42.4385,19.2295,RIPEAtlas,,42.4659725129,19.2663069241,Podgorica,Podgorica,ME,False,2024-05-24
47583,-23.4905,-46.7805,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
47583,-23.4895,-46.7805,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
47583,-23.4885,-46.7805,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
47583,-23.4925,-46.7795,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
47583,-23.4915,-46.7795,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
47583,-23.4905,-46.7795,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
47583,-23.4895,-46.7795,RIPEAtlas,,-23.558679587,-46.6250199804,São Paulo,São Paulo,BR,False,2024-05-24
