ASN,ORGANIZATION,SOURCE,ASOF_DATE
1200,AMS-IX,PCH,2024-05-24
200020,Stichting NBIP-NaWas,PCH,2024-05-24
12993,Digitalas Ekonomikas Attistibas Centrs,PCH,2024-05-24
205943,BSDR TECHNOLOGY B.V.,PCH,2024-05-24
40805,JMF Solutions Inc,PCH,2024-05-24
8758,Iway AG,PCH,2024-05-24
8821,WWZ Telekom AG,PCH,2024-05-24
263945,null,PCH,2024-05-24
20773,"GoDaddy.com, Inc ",PCH,2024-05-24
29075,IELO,PCH,2024-05-24
39244,Iddink Group B.V.,PCH,2024-05-24
8304,ECRITEL,PCH,2024-05-24
8529,Oman Telecommunications Company S.A.O.G.,PCH,2024-05-24
559,SWITCH,PCH,2024-05-24
1103,SURF B.V.,PCH,2024-05-24
12859,BIT BV,PCH,2024-05-24
2914,NTT,PCH,2024-05-24
112,Ripe NCC,PCH,2024-05-24
58453,CHINA MOBILE INTL LTD,PCH,2024-05-24
9145,EWE TEL GmbH,PCH,2024-05-24
2611,Belnet Networks,PCH,2024-05-24
50304,Blix Solutions AS,PCH,2024-05-24
47065,USC / UFMG PEERING Research Testbed,PCH,2024-05-24
1140,SIDN B.V.,PCH,2024-05-24
8708,RCS & RDS S.A.,PCH,2024-05-24
209768,WHITE2NET S.R.L.,PCH,2024-05-24
5390,Euronet Communications B.V.,PCH,2024-05-24
14061,DigitalOcean B.V.,PCH,2024-05-24
8918,Coolwave Communications Ltd,PCH,2024-05-24
6661,POST Luxembourg,PCH,2024-05-24
15224,Adobe Systems,PCH,2024-05-24
9009,M247 Europe SRL,PCH,2024-05-24
5410,Bouygues Telecom,PCH,2024-05-24
5583,Orange Business Netherlands B.V.,PCH,2024-05-24
1257,Ripe NCC,PCH,2024-05-24
12654,Ripe NCC,PCH,2024-05-24
15412,FLAG TELECOM IRELAND NETWORK DAC,PCH,2024-05-24
13445,Cisco / WebEx,PCH,2024-05-24
12355,HeLi NET Telekommunikation GmbH & Co. KG,PCH,2024-05-24
702,Verizon Business,PCH,2024-05-24
24730,Garnier Projects BV,PCH,2024-05-24
40850,null,PCH,2024-05-24
8426,Claranet Benelux,PCH,2024-05-24
57976,"Blizzard Entertainment, Inc.",PCH,2024-05-24
39378,servinga GmbH,PCH,2024-05-24
50923,METROSET LTD,PCH,2024-05-24
6774,Belgacom International Carrier Services SA,PCH,2024-05-24
36692,Cisco Systems International B.V.,PCH,2024-05-24
8608,ZIGGO SVC B.V.,PCH,2024-05-24
47195,Gameforge 4D GmbH,PCH,2024-05-24
5413,Daisy Communications Ltd,PCH,2024-05-24
31027,GlobalConnect A/S,PCH,2024-05-24
1547,TIRASTEL GmbH,PCH,2024-05-24
8473,Bahnhof AB,PCH,2024-05-24
3303,Swisscom (Switzerland) Ltd,PCH,2024-05-24
38040,National Telecom Public Company Limited,PCH,2024-05-24
3292,TDC A/S,PCH,2024-05-24
6830,Liberty Global Technology Services B.V. ,PCH,2024-05-24
20495,We Dare B.V.,PCH,2024-05-24
5400,BT ,PCH,2024-05-24
30132,Internet Systems Consortium (ISC),PCH,2024-05-24
41327,Fiber Telecom S.p.A.,PCH,2024-05-24
15830,Equinix (Services) Ltd,PCH,2024-05-24
16637,MTN GlobalConnect Solutions Limited,PCH,2024-05-24
31424,Nexellent AG,PCH,2024-05-24
31515,Inmarsat Solutions BV,PCH,2024-05-24
6663,Turk Telekom International AT AG,PCH,2024-05-24
6461,Zayo Group UK Limited ,PCH,2024-05-24
3209,Vodafone GmbH,PCH,2024-05-24
19551,Incapsula Inc.,PCH,2024-05-24
31133,"PJSC ""MegaFon""",PCH,2024-05-24
24875,NovoServe B.V.,PCH,2024-05-24
6667,Elisa Oyj,PCH,2024-05-24
15600,Quickline AG,PCH,2024-05-24
29263,Gemeente Den Haag,PCH,2024-05-24
13414,Twitter,PCH,2024-05-24
4455,IX Reach,PCH,2024-05-24
61599,null,PCH,2024-05-24
37282,MainOne Cable Company,PCH,2024-05-24
9150,Interconnect Services BV,PCH,2024-05-24
12496,IDNet Ltd,PCH,2024-05-24
199275,IPSet SARL,PCH,2024-05-24
15435,DELTA Fiber Nederland B.V.,PCH,2024-05-24
34655,JWE S.à r.l.,PCH,2024-05-24
15133,"VERIZON DIGITAL MEDIA SERVICES, Inc.",PCH,2024-05-24
39591,Global-e Datacenter BV,PCH,2024-05-24
49820,Picturae ICT,PCH,2024-05-24
29396,Eurofiber Nederland B.V.,PCH,2024-05-24
35467,DDFR,PCH,2024-05-24
43190,Gelderland Internet Exchange,PCH,2024-05-24
56654,Infinity Telecom SRL,PCH,2024-05-24
25596,CAMBRIUM B.V.,PCH,2024-05-24
5466,Eircom,PCH,2024-05-24
12306,Plusline AG,PCH,2024-05-24
49544,i3D.net,PCH,2024-05-24
41690,DAILYMOTION S.A.,PCH,2024-05-24
12414,Solcon Internetdiensten B.V.,PCH,2024-05-24
20940,Akamai International BV.,PCH,2024-05-24
16147,Nationale Politie,PCH,2024-05-24
15703,True B.V.,PCH,2024-05-24
29208,Quantcom a.s,PCH,2024-05-24
20326,TERASWITCH NTWK INC.,PCH,2024-05-24
45437,Real World Technology Solutions Pty Ltd,PCH,2024-05-24
12713,OTE International Solutions S.A.,PCH,2024-05-24
9031,EDPnet NV,PCH,2024-05-24
16298,InterBox Internet,PCH,2024-05-24
24167,ACADEMIA SINICA GRID COMPUTING CNTR,PCH,2024-05-24
20504,RTL Nederland B.V.,PCH,2024-05-24
39637,Ades B.V.,PCH,2024-05-24
20562,Open Peering,PCH,2024-05-24
12041,Afilias Ltd.,PCH,2024-05-24
42366,TerraTransit,PCH,2024-05-24
2686,AT&amp;T Global Network Services Nederland B.V.,PCH,2024-05-24
64518,Telecom Italia Netherlands B.V.,PCH,2024-05-24
20847,Previder B.V.,PCH,2024-05-24
201119,Icewood,PCH,2024-05-24
203536,FNOH-DSL Südheide GmbH,PCH,2024-05-24
30889,Waycom,PCH,2024-05-24
198046,DIDWW Ireland Limited,PCH,2024-05-24
12956,Telefonica Global Solutions S.L.U.,PCH,2024-05-24
51088,A2B Internet,PCH,2024-05-24
13030,Init Seven,PCH,2024-05-24
59711,HZ Hosting Ltd,PCH,2024-05-24
13237,euNetworks GmbH,PCH,2024-05-24
16265,LeaseWeb Network B.V.,PCH,2024-05-24
21478,PLEX B.V.,PCH,2024-05-24
8657,"MEO - Serviços de Comunicações e Multimédia, S.A.",PCH,2024-05-24
3326,"PJSC ""DATAGROUP""",PCH,2024-05-24
24961,myLoc managed IT AG,PCH,2024-05-24
64289,Macarne Limited,PCH,2024-05-24
12902,Luna.nl BV,PCH,2024-05-24
12731,IPHH Internet Port Hamburg GmbH,PCH,2024-05-24
43350,NFOrce Internet Services,PCH,2024-05-24
20932,SIG-Services Industriels de Geneve,PCH,2024-05-24
60486,Swiss Networking Solutions AG,PCH,2024-05-24
8220,COLT Telecom B.V.,PCH,2024-05-24
28788,Unilogic Networks B.V.,PCH,2024-05-24
17534,"NSK Co.,Ltd.",PCH,2024-05-24
6762,Ripe NCC,PCH,2024-05-24
7713,Turk Telekom A.S.,PCH,2024-05-24
2484,AFNIC,PCH,2024-05-24
25182,NPO,PCH,2024-05-24
20857,Transip B.V.,PCH,2024-05-24
47886,Virtu Secure Webservices BV,PCH,2024-05-24
15169,Google LLC ,PCH,2024-05-24
50263,EUROLINE UKRAINE LLC,PCH,2024-05-24
42,Packet Clearing House,PCH,2024-05-24
12322,Free SAS,PCH,2024-05-24
1126,Vancis B.V.,PCH,2024-05-24
17557,Pakistan Telecommunication Company Limited,PCH,2024-05-24
6777,AMS-IX,PCH,2024-05-24
197731,Tuxis Internet Engineering,PCH,2024-05-24
200596,Adyen B.V.,PCH,2024-05-24
35000,Prometey LLC,PCH,2024-05-24
139341,Oriental Power Holdings Ltd,PCH,2024-05-24
203101,Navarino S.A.,PCH,2024-05-24
30103,Zoom Video,PCH,2024-05-24
202053,UpCloud Ltd,PCH,2024-05-24
35280,F5 Inc.,PCH,2024-05-24
203936,Mismenet Telecomunicaciones SL,PCH,2024-05-24
12779,IT.Gate S.p.A.,PCH,2024-05-24
8075,Microsoft ,PCH,2024-05-24
8763,DENIC eG,PCH,2024-05-24
12350,VTX Services SA,PCH,2024-05-24
42708, GleSYS AB,PCH,2024-05-24
34224,Neterra Ltd.,PCH,2024-05-24
45899,VNPT Net Corporation,PCH,2024-05-24
34288,Kantonsschule Zug,PCH,2024-05-24
13285,TalkTalk Communications Ltd.,PCH,2024-05-24
31383,COMPUTEL STANDBY B.V.,PCH,2024-05-24
3491,PCCW Global B.V.,PCH,2024-05-24
51167,Contabo GmbH,PCH,2024-05-24
48173,Orange Business Services GmbH,PCH,2024-05-24
209162,BalkanGate,PCH,2024-05-24
24586,Intermax B.V.,PCH,2024-05-24
25148,Basefarm AS,PCH,2024-05-24
39832,Opera Software AS,PCH,2024-05-24
8551,Bezeq International LTD.,PCH,2024-05-24
265038,Jnet Provedores de internet LTDA,PCH,2024-05-24
8218,Zayo France,PCH,2024-05-24
35709,NorthC Datacenters B.V.,PCH,2024-05-24
24940,Hetzner Online AG,PCH,2024-05-24
3252,FIBERAX NTWK & CLOUD LTD,PCH,2024-05-24
37009,Mobile Telecommunications Ltd,PCH,2024-05-24
12759,SOCO Network Solutions GmbH,PCH,2024-05-24
8262,Evolink AD,PCH,2024-05-24
8422,NetCologne GmbH,PCH,2024-05-24
25459,Dataplace Nedzone B.V.,PCH,2024-05-24
62041,Telegram Messenger,PCH,2024-05-24
8587,Infracom Internet B.V.,PCH,2024-05-24
39647,Redhosting B.V. & Voiceworks B.V.,PCH,2024-05-24
21263,TeleData GmbH,PCH,2024-05-24
30925,DELTA Fiber Nederland,PCH,2024-05-24
6735,SDT.NET AG,PCH,2024-05-24
34968,iunxi B.V.,PCH,2024-05-24
29017,Gyron Internet Ltd.,PCH,2024-05-24
50340,"Selectel, Co. Ltd.",PCH,2024-05-24
