ASN,ORGANIZATION,SOURCE,ASOF_DATE
35540,OVH Telecom,PeeringDB,2024-05-23
35237,Sberbank,PeeringDB,2024-05-23
35548,smartTERRA GmbH,PeeringDB,2024-05-23
35549,Metronet telekomunikacije d.d.,PeeringDB,2024-05-23
393573,Fuse Telecom,PeeringDB,2024-05-23
48581,MythicalKitten - AS48581,PeeringDB,2024-05-23
48581,MythicalKitten LLC,PeeringDB,2024-05-23
48027,SITROX,PeeringDB,2024-05-23
12597,Gotanet,PeeringDB,2024-05-23
12597,Götalandsnätet,PeeringDB,2024-05-23
28999,Siportal Srl,PeeringDB,2024-05-23
262299,INEXA - Flavio Jose Penso Junior - ME,PeeringDB,2024-05-23
262299,Inexa Tecnologia,PeeringDB,2024-05-23
55293,"A2 Hosting, Inc.",PeeringDB,2024-05-23
132649,Adau Putra Network (ADAUNet),PeeringDB,2024-05-23
132649,ADAUNet,PeeringDB,2024-05-23
51269,Hexatom,PeeringDB,2024-05-23
262290,NewParce - Internet de Hipervelocidade,PeeringDB,2024-05-23
51265,Mass Response / spusu,PeeringDB,2024-05-23
51265,spusu,PeeringDB,2024-05-23
262292,Polli Telecom XXE,PeeringDB,2024-05-23
262292,Polli Telecom,PeeringDB,2024-05-23
51263,County Broadband Ltd,PeeringDB,2024-05-23
51263,County Broadband Fibre,PeeringDB,2024-05-23
51262,Internet Group AG Backbone,PeeringDB,2024-05-23
51262,AS-INTERNETGROUP,PeeringDB,2024-05-23
132645,Politeknik Perkapalan Negeri Surabaya,PeeringDB,2024-05-23
132645,PPNS,PeeringDB,2024-05-23
393577,Tritan Internet LLC (AS393577),PeeringDB,2024-05-23
393577,Tritan Development,PeeringDB,2024-05-23
206873,GalaxyStar,PeeringDB,2024-05-23
206873,GalaxyData,PeeringDB,2024-05-23
25061,Associated Networks (UK) Ltd,PeeringDB,2024-05-23
25061,ANLX,PeeringDB,2024-05-23
138887,ADIZKA LINTAS DATA,PeeringDB,2024-05-23
138887,Adizka-Net,PeeringDB,2024-05-23
61948,INFOMAC TELECOMUNICAÇÕES,PeeringDB,2024-05-23
61948,Infomac Telecom,PeeringDB,2024-05-23
215304,Yuwan,PeeringDB,2024-05-23
25068,KonicaMinolta Business Solutions Europe GmbH,PeeringDB,2024-05-23
215303,Qubitbytes,PeeringDB,2024-05-23
262742,UFABC,PeeringDB,2024-05-23
262742,Universidade Federal do ABC,PeeringDB,2024-05-23
266042,TELO NET,PeeringDB,2024-05-23
266042,TELONET,PeeringDB,2024-05-23
266044,NICNET TELECOMUNICAÇÕES,PeeringDB,2024-05-23
266049,Rede.com Telecom,PeeringDB,2024-05-23
266049,Rede.com,PeeringDB,2024-05-23
262749,Andries & Cia Ltda,PeeringDB,2024-05-23
262749,Leopoldina NET,PeeringDB,2024-05-23
265972,Donini & Saldanha Telecomunicacoes,PeeringDB,2024-05-23
265972,RAPIDA TELECOM,PeeringDB,2024-05-23
205112,PHILUNET GmbH,PeeringDB,2024-05-23
205112,PHILUNET,PeeringDB,2024-05-23
45658,SURYACITRA,PeeringDB,2024-05-23
45658,SCTV,PeeringDB,2024-05-23
142601,Tillered,PeeringDB,2024-05-23
48024,NEROCLOUD,PeeringDB,2024-05-23
131111,PT Mora Telematika Indonesia Tbk - Domestic,PeeringDB,2024-05-23
131111,Moratelindo,PeeringDB,2024-05-23
6798,Net4You Internet,PeeringDB,2024-05-23
6798,AS6798,PeeringDB,2024-05-23
46130,Positive Internet USA,PeeringDB,2024-05-23
46130,Positive Internet,PeeringDB,2024-05-23
141634,Satu Sistem Integrasi,PeeringDB,2024-05-23
141634,Sintegrasi Solution,PeeringDB,2024-05-23
206701,Fibra.City,PeeringDB,2024-05-23
132556,Blue Lotus Support Services,PeeringDB,2024-05-23
61943,Francisco Jose Rodrigues Teixeira,PeeringDB,2024-05-23
328262,Internet Uncapped,PeeringDB,2024-05-23
328262,iUncapped,PeeringDB,2024-05-23
264597,Via Sul Provedor de Acesso a Internet,PeeringDB,2024-05-23
264597,VIA SUL TELECOM,PeeringDB,2024-05-23
328266,Atomic Access,PeeringDB,2024-05-23
25286,Ipercast,PeeringDB,2024-05-23
25286,Ipercast Network,PeeringDB,2024-05-23
52863,UPX,PeeringDB,2024-05-23
16253,Borderlight AB,PeeringDB,2024-05-23
271,BCNET,PeeringDB,2024-05-23
395309,Reenigne,PeeringDB,2024-05-23
395309,Reenigne Inc,PeeringDB,2024-05-23
51847,Nearoute Limited,PeeringDB,2024-05-23
57829,Iver,PeeringDB,2024-05-23
136790,INTENSE COMMUNICATION,PeeringDB,2024-05-23
136790,ICPL,PeeringDB,2024-05-23
16700,CNS Internet,PeeringDB,2024-05-23
16700,CNSNext,PeeringDB,2024-05-23
142420,UART NETWORK,PeeringDB,2024-05-23
141519,Yuvaa Communications,PeeringDB,2024-05-23
147142,TELENUSA,PeeringDB,2024-05-23
52468,Ufinet Latam AS52468,PeeringDB,2024-05-23
52468,Ufinet LATAM,PeeringDB,2024-05-23
149934,Pangkalan Lintas Data,PeeringDB,2024-05-23
149934,PALINDO,PeeringDB,2024-05-23
17253,TEC of Jackson,PeeringDB,2024-05-23
17253,TEC,PeeringDB,2024-05-23
49271,Bitbakers,PeeringDB,2024-05-23
49271,BITBAKERS,PeeringDB,2024-05-23
63026,DartPoints 63026,PeeringDB,2024-05-23
63027,Lanicom / Skymesh,PeeringDB,2024-05-23
63027,dba Skymesh,PeeringDB,2024-05-23
63023,GTHost US and EU,PeeringDB,2024-05-23
63023,GTHost,PeeringDB,2024-05-23
396278,ConnectedAF,PeeringDB,2024-05-23
57470,Dragon,PeeringDB,2024-05-23
57470,DragonNet,PeeringDB,2024-05-23
9253,TVB New Media Group Limited,PeeringDB,2024-05-23
9253,MyTV Super,PeeringDB,2024-05-23
10704,Microlink Telecom,PeeringDB,2024-05-23
10704,Metrpop,PeeringDB,2024-05-23
141510,Softnet Digital Cable,PeeringDB,2024-05-23
141510,SOFTNET,PeeringDB,2024-05-23
149145,VNETWORK TELECOMMUNICATION SERVICES COMPANY LIMITED,PeeringDB,2024-05-23
149145,VNETWORK,PeeringDB,2024-05-23
135697,Tachyon Communications,PeeringDB,2024-05-23
135697,Tachyon Broadband,PeeringDB,2024-05-23
150191,Sarana Intimedia Telematika,PeeringDB,2024-05-23
150191,INTIMEDIA,PeeringDB,2024-05-23
24889,Monzoon Networks AG,PeeringDB,2024-05-23
49562,KPN-ITNS,PeeringDB,2024-05-23
49562,XMS,PeeringDB,2024-05-23
49562,Lijbrandt,PeeringDB,2024-05-23
49562,ISPFabriek,PeeringDB,2024-05-23
212828,twopeaks digital e.U.,PeeringDB,2024-05-23
52180,Elite-Line,PeeringDB,2024-05-23
19399,Region Stockholm(RS),PeeringDB,2024-05-23
19399,RS(SLL),PeeringDB,2024-05-23
141431,Call 2 Phone,PeeringDB,2024-05-23
141431,Call2Phone,PeeringDB,2024-05-23
141431,C2P,PeeringDB,2024-05-23
208087,Novosibirsk Telecommunication Company (Ulan Ude),PeeringDB,2024-05-23
208087,EDINOS,PeeringDB,2024-05-23
26021,"Unicycle, LLC - AS26021",PeeringDB,2024-05-23
270065,CHILE TV CABLE,PeeringDB,2024-05-23
270065,CHILE TV CABLE S.A.,PeeringDB,2024-05-23
203968,aiticon,PeeringDB,2024-05-23
203969,YMC AG,PeeringDB,2024-05-23
134345,Giga5 Fiber Network,PeeringDB,2024-05-23
134345,Giga5,PeeringDB,2024-05-23
134612,Atria Teknologi Indonesia,PeeringDB,2024-05-23
203964,4Tel Telekomunikacije,PeeringDB,2024-05-23
203964,4TEL,PeeringDB,2024-05-23
141125,Radmila Pratama Multireka,PeeringDB,2024-05-23
141125,AS141125,PeeringDB,2024-05-23
45117,Ishan Netsol,PeeringDB,2024-05-23
132641,Netciti Persada,PeeringDB,2024-05-23
132641,Netciti,PeeringDB,2024-05-23
271229,AMX INTERNET FIBRA ÓPTICA,PeeringDB,2024-05-23
271229,AMX Internet,PeeringDB,2024-05-23
20150,anyNode,PeeringDB,2024-05-23
133692,Fastnet Communication,PeeringDB,2024-05-23
133692,Fastnet,PeeringDB,2024-05-23
133693,Sri Krishna Internet Services,PeeringDB,2024-05-23
133693,SKISP,PeeringDB,2024-05-23
271226,G4 TELECOM LTDA,PeeringDB,2024-05-23
271226,G4,PeeringDB,2024-05-23
271220,CLICK INTERNET AS271220,PeeringDB,2024-05-23
271220,Click Internet,PeeringDB,2024-05-23
47258,Premier Group Companies Telecom,PeeringDB,2024-05-23
47258,Premier GC,PeeringDB,2024-05-23
202562,Aperture Networks,PeeringDB,2024-05-23
46868,VPNET,PeeringDB,2024-05-23
46868,Red Verde,PeeringDB,2024-05-23
24088,Hanoi Telecom,PeeringDB,2024-05-23
24088,HITC (HTC INTERNATIONAL TELECOMMUNICATION JOINT STOCK COMPANY),PeeringDB,2024-05-23
22873,Fiber Networx Inc.,PeeringDB,2024-05-23
139931,Bangladesh Submarine Cables Public Limited Company (BSCPLC),PeeringDB,2024-05-23
139931,BSCCL,PeeringDB,2024-05-23
49300,IBSELEKTRONICS,PeeringDB,2024-05-23
42830,TV SAT 364,PeeringDB,2024-05-23
42830,Stowarzyszenie Telewizji Kablowej TV SAT 364,PeeringDB,2024-05-23
42831,UK Dedicated Servers,PeeringDB,2024-05-23
42831,UK Servers,PeeringDB,2024-05-23
