ORGANIZATION,NODE_NAME,LATITUDE,LONGITUDE,CITY,STATE,COUNTRY,SOURCE,ASOF_DATE
"Equinix, Inc.","Equinix DC1-DC15, DC21 - Ashburn",38.8204327586,-77.0999815284,Alexandria,Virginia,US,PeeringDB,2024-05-23
Digital Realty,Digital Realty SFO (200 Paul),37.7400077505,-122.459977663,San Francisco,California,US,PeeringDB,2024-05-23
"Equinix, Inc.",Equinix DA1 - Dallas,32.8200238231,-96.8400169289,Dallas,Texas,US,PeeringDB,2024-05-23
"Equinix, Inc.","Equinix SV8 - Silicon Valley, Palo Alto",37.5569181509,-122.313061566,San Mateo,California,US,PeeringDB,2024-05-23
"Equinix, Inc.","Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2024-05-23
"Equinix, Inc.",Equinix CH1/CH2/CH4 - Chicago,41.8299906607,-87.7500549741,Chicago,Illinois,US,PeeringDB,2024-05-23
"Equinix, Inc.",Equinix LA1 - Los Angeles,33.9899782502,-118.179980511,Los Angeles,California,US,PeeringDB,2024-05-23
"Equinix, Inc.","Equinix NY1 - New York, Newark",40.7004213654,-74.1700053321,Newark,New Jersey,US,PeeringDB,2024-05-23
Digital Realty,Digital Realty NYC (60 Hudson),40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2024-05-23
"Equinix, Inc.",Equinix AT2/AT3 - Atlanta,33.830013854,-84.3999493833,Atlanta,Georgia,US,PeeringDB,2024-05-23
"Equinix, Inc.",Equinix TR1 - Toronto,43.6999798778,-79.4200207944,Toronto,Ontario,CA,PeeringDB,2024-05-23
"Equinix, Inc.","Equinix MI1 - Miami, NOTA",25.7876106964,-80.2241060808,Miami,Florida,US,PeeringDB,2024-05-23
Digital Realty,Digital Realty NYC (111 8th Ave),40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2024-05-23
Nikhef,NIKHEF Amsterdam,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,PeeringDB,2024-05-23
CoreSite,CoreSite - Los Angeles (LA1) One Wilshire,33.9899782502,-118.179980511,Los Angeles,California,US,PeeringDB,2024-05-23
CoreSite,CoreSite - San Jose (SV1),37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2024-05-23
60 Fed LLC,FedConnect San Francisco,37.7400077505,-122.459977663,San Francisco,California,US,PeeringDB,2024-05-23
JMA Wired,JMA NAC Los Angeles,33.9899782502,-118.179980511,Los Angeles,California,US,PeeringDB,2024-05-23
Digital Realty,Digital Realty SFO (365 Main),37.7400077505,-122.459977663,San Francisco,California,US,PeeringDB,2024-05-23
UnitedLayer LLC,The Mission Street Center,37.7400077505,-122.459977663,San Francisco,California,US,PeeringDB,2024-05-23
SVTIX San Jose,SVTIX San Jose,37.2999829295,-121.849989056,San Jose,California,US,PeeringDB,2024-05-23
Telehouse - Global Data Centers,Telehouse - London (Docklands North),NULL,NULL,NULL,NULL,NULL,PeeringDB,2024-05-23
Digital Realty,Digital Realty London LHR17,51.4999947297,-0.11672184386,London,Westminster,GB,PeeringDB,2024-05-23
"Equinix, Inc.","Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2024-05-23
"Equinix, Inc.","Equinix NY9 - New York, 111 8th Avenue",40.749979064,-73.9800169288,New York,New York,US,PeeringDB,2024-05-23
